alcaldia_catalogo,dia_semana,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Azcapotzalco,Domingo,95,130,121,106,87,64,40,52,66,57,77,110,82,106,121,137,171,106,101,118,122,164,161,106
Azcapotzalco,Jueves,74,65,37,21,12,9,33,81,123,151,118,108,91,133,188,187,159,174,196,235,217,167,166,124
Azcapotzalco,Lunes,65,57,29,24,20,7,26,75,89,120,119,117,127,126,168,184,166,179,175,158,155,138,103,75
Azcapotzalco,Martes,59,22,13,8,6,8,31,96,147,167,127,138,144,146,182,196,182,184,220,206,178,156,135,87
Azcapotzalco,Miércoles,87,55,18,9,7,16,43,96,144,198,143,128,152,125,192,201,187,209,268,177,165,157,152,97
Azcapotzalco,Sábado,156,135,112,79,86,70,53,65,76,71,97,105,112,169,215,226,208,182,180,253,190,164,157,175
Azcapotzalco,Viernes,128,76,73,39,14,25,36,72,134,136,111,126,128,131,166,219,232,238,233,258,258,261,233,201
Benito Juárez,Domingo,177,166,196,146,125,131,100,101,126,69,97,159,147,214,205,231,202,224,206,234,206,221,233,187
Benito Juárez,Jueves,211,98,72,68,62,27,46,103,215,342,251,180,217,230,322,337,356,320,349,365,324,369,339,223
Benito Juárez,Lunes,132,67,52,38,26,31,39,125,198,295,206,163,205,212,246,303,321,306,290,336,243,241,201,165
Benito Juárez,Martes,112,61,29,27,19,28,71,116,267,304,263,253,268,262,302,313,297,360,357,350,370,311,271,184
Benito Juárez,Miércoles,121,61,51,43,38,19,38,99,220,346,289,287,263,259,277,391,323,365,305,345,298,335,276,203
Benito Juárez,Sábado,240,247,240,192,112,176,120,120,107,140,148,196,247,251,330,343,385,283,280,256,257,281,331,231
Benito Juárez,Viernes,208,142,97,85,48,61,63,121,230,254,222,228,212,240,319,402,381,481,397,459,415,449,349,342
Coyoacán,Domingo,226,264,250,224,223,158,125,96,157,112,106,121,166,183,214,258,242,240,298,318,265,275,335,220
Coyoacán,Jueves,155,96,55,46,29,28,59,124,212,230,231,224,202,203,264,317,334,271,265,314,369,352,252,250
Coyoacán,Lunes,131,92,56,41,28,25,36,123,193,219,234,227,219,211,259,316,354,341,280,319,352,302,277,190
Coyoacán,Martes,136,81,39,32,18,13,30,118,235,286,272,223,220,263,312,369,333,377,282,286,301,327,318,190
Coyoacán,Miércoles,109,99,41,20,16,21,40,103,267,251,264,236,172,207,287,344,341,282,350,302,299,330,270,203
Coyoacán,Sábado,278,247,216,212,161,131,86,121,119,110,157,229,270,341,334,352,422,321,328,381,366,372,337,284
Coyoacán,Viernes,218,130,96,77,34,37,58,157,192,230,234,219,229,240,300,341,383,385,357,433,479,487,396,337
Cuajimalpa de Morelos,Domingo,55,65,57,53,31,25,29,33,56,49,44,39,57,57,85,95,76,59,92,111,107,112,81,72
Cuajimalpa de Morelos,Jueves,33,18,10,8,8,6,26,50,65,60,68,54,37,50,64,99,86,86,88,102,97,91,55,61
Cuajimalpa de Morelos,Lunes,35,23,15,8,9,10,24,44,51,63,50,58,69,43,70,67,113,89,109,86,96,75,46,43
Cuajimalpa de Morelos,Martes,31,9,3,2,2,7,28,46,61,43,71,54,80,68,69,82,60,80,74,109,89,96,67,55
Cuajimalpa de Morelos,Miércoles,29,11,9,4,10,7,14,49,53,53,30,60,57,47,63,71,53,84,106,137,106,92,69,48
Cuajimalpa de Morelos,Sábado,61,63,62,34,18,31,43,33,44,51,73,44,47,73,72,84,103,74,121,127,108,88,62,100
Cuajimalpa de Morelos,Viernes,50,22,25,20,18,8,23,40,45,60,45,52,47,51,89,82,86,106,107,111,98,118,90,67
Cuauhtémoc,Domingo,300,264,239,233,233,226,209,119,155,131,150,203,227,268,297,343,353,326,411,374,382,361,341,328
Cuauhtémoc,Jueves,234,147,93,49,52,57,81,167,262,405,338,372,349,371,408,530,521,488,497,571,502,440,387,301
Cuauhtémoc,Lunes,196,139,92,68,65,35,59,182,282,332,330,278,335,332,426,452,463,376,391,392,353,343,285,235
Cuauhtémoc,Martes,183,81,56,31,26,29,83,166,276,402,355,358,356,323,457,459,475,484,489,502,496,374,341,295
Cuauhtémoc,Miércoles,199,140,81,49,33,29,76,185,343,362,378,355,330,385,474,489,486,518,480,496,469,369,348,259
